"","주차장명","LAT","LON"
"1","강일동공영주차장(구)",37.5665,127.1722
"2","온조옆 공영주차장(구)",37.5576,127.157
"3","명일동(구)",37.5511,127.1428
"4","주양쇼핑옆 노상주차장(구)",37.5529,127.153
"5","명일동(시)",37.5535,127.1558
"6","주양쇼핑앞(구)",37.5517,127.1544
"7","천호역(시)",37.538,127.1231
"8","안말(구)",37.5313,127.1299
"9","강동구청 옆 노상주차장(구)",37.5302,127.1237
"10","암사1동(구)",37.5529,127.1376
"11","천호3동(구)",37.5391,127.1332
"12","천호3동 제2주차장(구)",37.5408,127.1339
"13","천호1동(구)",37.5448,127.1364
"14","천호유수지 주차장(구)",37.5447,127.1218
"15","해공공영주차장(구)",37.541,127.1288
"16","천호제2동제2주차장(구)",37.5407,127.1231
